CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,TREECOUNT,STAGE
1809180951290487.0,947,3,4.0,25,2024,261.0,8.0,27.0,27.0,1.0,4.0
1809180955290487.0,947,3,8.0,25,2024,261.0,8.0,25.0,25.0,1.0,4.0
1809180969290487.0,947,4,11.0,25,2024,261.0,7.0,24.0,24.0,1.0,3.0
1809179524290487.0,1001,3,10.0,25,2024,261.0,5.9,27.0,27.0,1.0,3.0
1809181230290487.0,1014,1,1.0,25,2024,261.0,11.3,28.0,28.0,1.0,4.0
1809181239290487.0,1014,2,1.0,25,2024,261.0,8.2,45.0,45.0,1.0,4.0
1809181241290487.0,1014,2,3.0,25,2024,261.0,6.5,20.0,12.0,1.0,3.0
1809181245290487.0,1014,2,7.0,25,2024,261.0,6.8,24.0,22.0,1.0,3.0
1809181246290487.0,1014,2,8.0,25,2024,261.0,9.8,26.0,22.0,1.0,4.0
1809181249290487.0,1014,2,11.0,25,2024,261.0,8.7,36.0,36.0,1.0,4.0
1809181250290487.0,1014,2,12.0,25,2024,261.0,8.5,44.0,44.0,1.0,4.0
1809181251290487.0,1014,2,13.0,25,2024,261.0,7.7,34.0,34.0,1.0,3.0
1809181253290487.0,1014,2,16.0,25,2024,261.0,8.7,36.0,36.0,1.0,4.0
1809181254290487.0,1014,2,17.0,25,2024,261.0,5.8,23.0,23.0,1.0,3.0
1809181255290487.0,1014,2,18.0,25,2024,261.0,5.5,40.0,40.0,1.0,3.0
1809181256290487.0,1014,2,19.0,25,2024,261.0,5.1,40.0,40.0,1.0,3.0
1809181264290487.0,1014,3,8.0,25,2024,261.0,5.7,17.0,17.0,1.0,3.0
1809178590290487.0,1034,1,1.0,25,2024,261.0,,,,1.0,
1809178591290487.0,1034,1,2.0,25,2024,261.0,1.5,8.0,8.0,1.0,1.0
1809178593290487.0,1034,1,4.0,25,2024,261.0,12.9,55.0,43.0,1.0,5.0
1809178597290487.0,1034,1,9.0,25,2024,261.0,8.2,30.0,30.0,1.0,4.0
1809178601290487.0,1034,1,13.0,25,2024,261.0,13.5,55.0,31.0,1.0,5.0
1809178603290487.0,1034,1,15.0,25,2024,261.0,,,,1.0,
1809178604290487.0,1034,2,2.0,25,2024,261.0,,,,1.0,
1809178605290487.0,1034,2,3.0,25,2024,261.0,,,,1.0,
1809178608290487.0,1034,2,8.0,25,2024,261.0,,,,1.0,
1809178609290487.0,1034,2,9.0,25,2024,261.0,14.8,63.0,63.0,1.0,5.0
1809178614290487.0,1034,2,14.0,25,2024,261.0,,,,1.0,
1809178617290487.0,1034,3,2.0,25,2024,261.0,8.4,51.0,51.0,1.0,4.0
1809178618290487.0,1034,3,3.0,25,2024,261.0,15.5,70.0,70.0,1.0,5.0
1809178620290487.0,1034,3,6.0,25,2024,261.0,7.0,30.0,30.0,1.0,3.0
1809178621290487.0,1034,3,7.0,25,2024,261.0,9.7,55.0,55.0,1.0,4.0
1809178622290487.0,1034,3,8.0,25,2024,261.0,8.7,40.0,40.0,1.0,4.0
1809178623290487.0,1034,3,9.0,25,2024,261.0,7.7,50.0,46.0,1.0,3.0
1809178625290487.0,1034,3,11.0,25,2024,261.0,5.7,39.0,39.0,1.0,3.0
1809178626290487.0,1034,4,1.0,25,2024,261.0,,,,1.0,
1809178628290487.0,1034,4,4.0,25,2024,261.0,13.7,48.0,48.0,1.0,5.0
1809178630290487.0,1034,4,6.0,25,2024,261.0,,,,1.0,
1809178632290487.0,1034,4,8.0,25,2024,261.0,,,,1.0,
1809179730290487.0,1082,1,5.0,25,2024,261.0,11.7,44.0,44.0,1.0,4.0
1809179738290487.0,1082,1,16.0,25,2024,261.0,9.4,58.0,58.0,1.0,4.0
1809179745290487.0,1082,2,3.0,25,2024,261.0,5.4,20.0,20.0,1.0,3.0
1809179746290487.0,1082,2,4.0,25,2024,261.0,22.6,80.0,80.0,1.0,6.0
1809179747290487.0,1082,2,5.0,25,2024,261.0,35.2,81.0,13.0,1.0,6.0
1809179748290487.0,1082,2,6.0,25,2024,261.0,19.2,52.0,52.0,1.0,5.0
1809179749290487.0,1082,2,7.0,25,2024,261.0,15.8,76.0,76.0,1.0,5.0
1809179750290487.0,1082,2,8.0,25,2024,261.0,26.4,77.0,77.0,1.0,6.0
1809179682290487.0,1093,1,6.0,25,2024,261.0,9.1,48.0,48.0,1.0,4.0
1809179684290487.0,1093,1,8.0,25,2024,261.0,7.2,36.0,36.0,1.0,3.0
