CN              , PLOT, SUBP, STATECD, INVYR, SPCD , TREECOUNT, STAGE
1837966108290487,  579,    1,      23,  2024, 261.0,       2.0,     1
1837966110290487,  579,    2,      23,  2024, 261.0,       3.0,     1
1837966113290487,  579,    3,      23,  2024, 261.0,       2.0,     1
1837974531290487,  500,    3,      23,  2024, 261.0,       2.0,     1
1837979193290487,  815,    2,      23,  2024, 261.0,       1.0,     1
1837979195290487,  815,    3,      23,  2024, 261.0,       3.0,     1
1837979341290487, 1309,    3,      23,  2024, 261.0,      37.0,     1
1837979346290487, 1309,    4,      23,  2024, 261.0,       7.0,     1
1837980234290487,  845,    1,      23,  2024, 261.0,       1.0,     1
1837980238290487,  845,    2,      23,  2024, 261.0,       9.0,     1
1837980245290487,  845,    3,      23,  2024, 261.0,       3.0,     1
1837965719290487, 1805,    3,      23,  2024, 261.0,       4.0,     1
1837965720290487, 1805,    4,      23,  2024, 261.0,       1.0,     1
1837998647290487, 1643,    1,      23,  2024, 261.0,       5.0,     1
1837998656290487, 1643,    3,      23,  2024, 261.0,       2.0,     1
1838015921290487, 1547,    1,      23,  2024, 261.0,       1.0,     1
1838015928290487, 1547,    2,      23,  2024, 261.0,       3.0,     1
1838015934290487, 1547,    3,      23,  2024, 261.0,       3.0,     1
1838015939290487, 1547,    4,      23,  2024, 261.0,       1.0,     1
1837967077290487,  425,    4,      23,  2024, 261.0,       1.0,     1
1837978791290487, 1606,    3,      23,  2024, 261.0,       2.0,     1
1837979790290487,  501,    2,      23,  2024, 261.0,       7.0,     1
1837967301290487,  409,    2,      23,  2024, 261.0,       1.0,     1
1837964791290487, 1783,    1,      23,  2024, 261.0,       2.0,     1
1837964793290487, 1783,    4,      23,  2024, 261.0,       1.0,     1
1837984502290487,  384,    1,      23,  2024, 261.0,       5.0,     1
1837984507290487,  384,    2,      23,  2024, 261.0,       6.0,     1
1837984512290487,  384,    3,      23,  2024, 261.0,       2.0,     1
1837984517290487,  384,    4,      23,  2024, 261.0,      16.0,     1
1837973471290487,  381,    1,      23,  2024, 261.0,       2.0,     1
1837970952290487, 1794,    1,      23,  2024, 261.0,       4.0,     1
1838001792290487, 1023,    2,      23,  2024, 261.0,       3.0,     1
1838002017290487,  629,    4,      23,  2024, 261.0,       1.0,     1
1837967568290487, 1069,    3,      23,  2024, 261.0,       6.0,     1
1837967570290487, 1069,    4,      23,  2024, 261.0,       1.0,     1
1837968559290487,  396,    3,      23,  2024, 261.0,       1.0,     1
1837979415290487,  764,    1,      23,  2024, 261.0,       3.0,     1
1837979418290487,  764,    2,      23,  2024, 261.0,       1.0,     1
1837979419290487,  764,    3,      23,  2024, 261.0,       5.0,     1
1837979425290487,  764,    4,      23,  2024, 261.0,      23.0,     1
1837972472290487,  711,    3,      23,  2024, 261.0,       4.0,     1
1837972795290487,   71,    1,      23,  2024, 261.0,       3.0,     1
1837972797290487,   71,    4,      23,  2024, 261.0,       1.0,     1
1837972856290487,  841,    1,      23,  2024, 261.0,       1.0,     1
1837972901290487, 1138,    1,      23,  2024, 261.0,       2.0,     1
1837972903290487, 1138,    2,      23,  2024, 261.0,       2.0,     1
1837972906290487, 1138,    3,      23,  2024, 261.0,       1.0,     1
1837971363290487, 1596,    4,      23,  2024, 261.0,       1.0,     1
1837971659290487,  736,    2,      23,  2024, 261.0,       1.0,     1
1838014935290487,  270,    2,      23,  2024, 261.0,       7.0,     1
1837974900290487, 1248,    3,      23,  2024, 261.0,       2.0,     1
1837995178290487, 1300,    4,      23,  2024, 261.0,       3.0,     1
1837997109290487, 1238,    1,      23,  2024, 261.0,       8.0,     1
1837999453290487, 1372,    2,      23,  2024, 261.0,       1.0,     1
1838001660290487, 1371,    2,      23,  2024, 261.0,       8.0,     1
